Product URL,Product Name,Product Price,Rating,Number of reviews,Manufacturer,ASIN
https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyNjk4ODgxNzIzNzA1OTk1OjE3MjYyNTEzNzM6c3BfYXRmOjMwMDMxNDA2NDUwODMzMjo6MDo6&url=%2FCitizen-Workoholic-Compartment-Polyester-Reflective%2Fdp%2FB0D4QBSLKG%2Fref%3Dsr_1_1_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1726251373%26sprefix%3Dba%252Caps%252C283%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Citizen Workoholic Travel Laptop Backpack | 15.6 Inch Padded Laptop Compartment | 27 Liters | Polyester Fabric | 2 Front & Side Pockets | Padded Straps & Trolley Sleeve | Reflective Strips | Black  ,₹999, , ,"Citizen Umbrella Manufacturers Limited, Umbergaon",B0D4QBSLKG
https://www.amazon.in//sspa/click?ie=UTF8&spc=MToyNjk4ODgxNzIzNzA1OTk1OjE3MjYyNTEzNzM6c3BfYXRmOjMwMDMzNDU0MjUzMjMzMjo6MDo6&url=%2FFellow-Large-Laptop-Backpack-Grey%2Fdp%2FB09VTHTSJQ%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2M096C61O4MLT%26dib%3DeyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y%26dib_tag%3Dse%26keywords%3Dbags%26qid%3D1726251373%26sprefix%3Dba%252Caps%252C283%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Fellow Large 45 L Laptop Backpack Large 45L Unisex Laptop Backpack |School Bag| |College Bag||Backpack  ,₹649,3.9 out of 5 stars,135,Fellow,B09VTHTSJQ
https://www.amazon.in//Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y&dib_tag=se&keywords=bags&qid=1726251373&sprefix=ba%2Caps%2C283&sr=8-3,"Skybags Casual Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Strap  ",₹479,4.1 out of 5 stars,"13,166",VIP Industries Ltd,B08Z1HHHTD
https://www.amazon.in//Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_4?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y&dib_tag=se&keywords=bags&qid=1726251373&sprefix=ba%2Caps%2C283&sr=8-4,"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls  ",₹699,4.4 out of 5 stars,"14,953","FUR JADEN, Fur Jaden, 3C Jai Hind Bld, Dr AM Road, Bhuleshwar, Mumbai 400002",B09VTDMRY7
https://www.amazon.in//Safari-Laptop-Backpack-Raincover-college/dp/B097JJ2CK6/ref=sr_1_5?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y&dib_tag=se&keywords=bags&qid=1726251373&sprefix=ba%2Caps%2C283&sr=8-5,"Safari Casual backpack 3 compartments, front pocket, bottle holder, School bags for boys & girls, College bag for women and men  ",₹729,4.0 out of 5 stars,"2,890","Safari, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B097JJ2CK6
https://www.amazon.in//ACEPACK-Daypack-Compartment-Backpack-Daily/dp/B0D839K76N/ref=sr_1_6?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y&dib_tag=se&keywords=bags&qid=1726251373&sprefix=ba%2Caps%2C283&sr=8-6,"ACEPACK Daypack Bag 2 Compartment Backpack for Daily Use - Library, Office, Outdoor Hiking  ",₹199,3.4 out of 5 stars,61,"PLG International, PLG International",B0D839K76N
https://www.amazon.in//Safari-Laptop-Backpack-Raincover-college/dp/B097JH4V5G/ref=sr_1_7?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y&dib_tag=se&keywords=bags&qid=1726251373&sprefix=ba%2Caps%2C283&sr=8-7,"Safari Casual backpack 3 compartments, front pocket, bottle holder, School bags for boys & girls, College bag for women and men  ",₹699,4.0 out of 5 stars,"2,890","Safari, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B097JH4V5G
https://www.amazon.in//SAFARI-Ltrs-Casual-Backpack-DAYPACKNEO15CBSEB/dp/B07Q7CNPMV/ref=sr_1_8?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y&dib_tag=se&keywords=bags&qid=1726251373&sprefix=ba%2Caps%2C283&sr=8-8,Safari Small Size 15 Ltrs Unisex Standard Backpack - Sea Blue  ,₹255,4.0 out of 5 stars,"23,203","Safari Industries (India) Ltd, Safari Industries Ltd 301/302, A-Wing, The Qube, M.V.Road, Marol, Andheri(East), Near international Airport Mumbai- 400059 +91-22-40381851/838",B07Q7CNPMV
https://www.amazon.in//TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_9?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y&dib_tag=se&keywords=bags&qid=1726251373&sprefix=ba%2Caps%2C283&sr=8-9,TRUE HUMAN EMPEROR® Anti-Theft Bagkpack With USB Charging Port Laptop bag/Office bag/College bag/Travel bag with Anti -Theft back pocket (LEGEND)  ,₹695,3.8 out of 5 stars,"3,685","Rama luxury store, Rama luxury store",B09QJ7ZF2Y
https://www.amazon.in//Fargo-Leatherette-White-Womens-Ladies/dp/B0D814GNXK/ref=sr_1_10?crid=2M096C61O4MLT&dib=eyJ2IjoiMSJ9.NdOKhzTWp5YJqrnZWmusO-w4BvorY4Jw6xaW7dw3SSi6wSWY0IzQ3CjU_yU4r9slvbMZinv3sjXW6VLfb3uexQRsYWc8akP2Bij_GYsEFIoRhyp41UJAHQeHfg0lYkefg1SlHZAM5ngjdA0vcnerQNraeBnTLXkmuZ2w1sk3HF7Ukclf6HQQ-uTx5gKz-9cXH91L5SnpXWeG5KUV3hFc29ymm7PhXpuMt6rNpdNxFGk.f4btL_pqDETXToO7HLkdjzMfsIh6gj3bjKxpMKKeb1Y&dib_tag=se&keywords=bags&qid=1726251373&sprefix=ba%2Caps%2C283&sr=8-10,Fargo Leatherette Side White Sling Bags For Women's Ladies  ,₹129,3.0 out of 5 stars,386,Retail Grapple,B0D814GNXK
